687YP, 0, 50, Brancadoro, 01-01-2025, 1
687YP, 2, -2, Italia, 08-01-2025, 2
687YP, 5, -5, Germania, 15-01-2025, 3
687YP, 4, -4, Germania, 22-01-2025, 4
687YP, 2, -2, Italia, 28-01-2025, 5
687YP, 0, 48, Brancadoro, 01-02-2025, 6
687YP, 7, -7, Italia, 08-02-2025, 7
687YP, 1, -1, Italia, 15-02-2025, 8
687YP, 4, -4, Germania, 22-02-2025, 9
687YP, 9, -9, Italia, 28-02-2025, 10
687YP, 0, 47, Brancadoro, 01-03-2025, 11
687YP, 4, -4, Spagna, 08-03-2025, 12
687YP, 4, -4, Spagna, 15-03-2025, 13
687YP, 10, -10, Francia, 22-03-2025, 14
687YP, 1, -1, Germania, 28-03-2025, 15
687YP, 0, 52, Brancadoro, 01-04-2025, 16
687YP, 7, -7, Francia, 08-04-2025, 17
687YP, 5, -5, Germania, 15-04-2025, 18
687YP, 4, -4, Francia, 22-04-2025, 19
687YP, 2, -2, Italia, 28-04-2025, 20
687YP, 0, 42, Brancadoro, 01-05-2025, 21
687YP, 2, -2, Francia, 08-05-2025, 22
687YP, 6, -6, Francia, 15-05-2025, 23
687YP, 1, -1, Spagna, 22-05-2025, 24
687YP, 9, -9, Italia, 28-05-2025, 25
687YP, 0, 59, Brancadoro, 01-06-2025, 26
687YP, 7, -7, Italia, 08-06-2025, 27
687YP, 9, -9, Francia, 15-06-2025, 28
687YP, 10, -10, Francia, 22-06-2025, 29
687YP, 10, -10, Germania, 28-06-2025, 30
687YP, 0, 52, Brancadoro, 01-07-2025, 31
687YP, 2, -2, Italia, 08-07-2025, 32
687YP, 4, -4, Francia, 15-07-2025, 33
687YP, 2, -2, Germania, 22-07-2025, 34
687YP, 2, -2, Spagna, 28-07-2025, 35
687YP, 0, 38, Brancadoro, 01-08-2025, 36
687YP, 8, -8, Francia, 08-08-2025, 37
687YP, 3, -3, Francia, 15-08-2025, 38
687YP, 6, -6, Germania, 22-08-2025, 39
687YP, 5, -5, Italia, 28-08-2025, 40
687YP, 0, 49, Brancadoro, 01-09-2025, 41
687YP, 3, -3, Germania, 08-09-2025, 42
687YP, 3, -3, Spagna, 15-09-2025, 43
